"","Gender","Age","Stress_Level","Rapid_Heartbeat","Anxiety","Sleep_Problems","Anxiety_Level","Headaches","Irritation","Concentration_Problems","Low_Mood","Health_Issues","Loneliness","Academic_Workload","Peer_Competition","Relationship_Stress","Professor_Difficulty","Work_Environment","Lack_of_Leisure_Time","Home_Environment","Low_Academic_Confidence","Subject_Confidence","Activity_Conflict","Class_Attendance","Weight_Change","Stress_Type"
"1","0",20,3,4,2,5,1,2,1,2,2,3,1,5,1,2,3,1,4,1,2,1,3,1,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"2","0",20,2,3,2,1,1,1,1,4,2,1,2,1,2,4,3,2,1,1,3,2,1,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"3","0",20,5,4,2,2,1,3,4,2,3,2,3,4,5,2,2,2,2,1,4,1,1,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"4","1",20,3,4,3,2,2,3,4,3,5,2,4,1,2,3,1,1,2,1,2,1,1,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"5","0",20,3,3,3,2,2,4,4,4,4,1,1,1,2,1,2,3,1,2,2,4,2,2,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"6","0",20,3,4,3,2,3,3,4,1,3,1,2,2,3,2,2,3,1,2,3,2,4,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"7","0",20,2,2,1,4,4,3,4,1,3,4,2,1,3,4,4,4,2,3,4,3,3,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"8","0",20,5,5,5,2,4,2,1,1,2,2,4,1,2,1,1,4,2,4,3,1,1,1,5,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"9","0",20,3,2,1,5,3,5,1,1,2,3,2,3,3,4,4,4,2,4,4,3,1,5,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"10","0",21,3,4,2,1,1,2,1,2,3,4,3,2,2,1,1,1,1,1,1,1,2,4,2,"No Stress - Currently experiencing minimal to no stress."
"11","1",19,2,1,2,4,3,3,2,2,4,3,1,1,2,2,1,1,1,1,1,1,2,3,1,"No Stress - Currently experiencing minimal to no stress."
"12","1",20,5,3,2,4,2,3,4,2,4,4,3,1,5,3,5,1,1,1,1,1,2,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"13","0",20,3,4,2,2,1,2,1,1,1,1,1,1,3,2,2,4,3,5,3,2,3,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"14","0",18,3,2,2,3,2,3,4,1,1,1,1,2,3,1,4,2,1,3,5,4,4,1,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"15","0",20,5,2,2,2,3,2,1,1,1,1,1,5,2,2,3,2,2,1,1,1,1,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"16","1",19,4,4,3,5,1,2,2,3,5,3,2,1,2,3,3,4,1,2,3,2,2,2,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"17","0",18,3,2,1,1,1,5,3,1,3,5,4,2,1,3,4,3,3,3,4,4,1,2,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"18","0",19,4,5,4,4,2,3,2,2,1,1,1,1,1,2,3,3,1,2,3,1,3,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"19","1",18,1,1,4,4,3,3,1,1,2,3,2,5,5,5,5,5,5,5,5,5,3,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"20","0",19,3,4,1,4,2,2,2,3,3,4,4,1,3,1,1,2,1,1,1,2,2,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"21","0",18,3,4,2,2,1,2,3,1,2,3,1,1,4,3,5,3,3,3,3,3,3,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"22","1",20,1,2,2,4,3,1,4,5,5,5,5,5,4,4,2,3,1,1,4,1,1,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"23","1",19,2,3,3,2,1,1,1,1,1,1,2,1,1,2,3,3,3,3,3,4,3,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"24","0",19,2,2,2,3,3,2,4,3,3,3,3,2,2,5,4,3,3,3,3,1,3,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"25","0",18,5,5,3,4,4,3,2,1,1,4,1,1,3,5,5,5,5,5,5,1,4,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"26","1",19,1,1,2,3,4,3,2,3,3,3,4,1,1,2,4,3,1,2,3,1,1,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"27","0",19,3,4,1,3,3,4,2,3,3,3,1,1,3,2,5,3,3,3,5,5,3,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"28","0",19,3,4,2,4,4,4,4,5,5,5,1,5,2,5,3,5,2,5,5,5,1,3,3,"Distress (Negative Stress) - Stress that causes anxiety and impairs well-being."
"29","0",21,4,4,4,4,4,5,3,1,2,3,1,1,2,1,3,1,3,2,2,2,2,2,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
